"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "XML", "JSON", "HTML", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\HP\Desktop\Smash apartments\client\src\CreatePassword.jsx", "JavaScript JSX", 95, 0, 0, 0, 0, 0, 0, 0, 1, 8, 104
"c:\Users\HP\Desktop\Smash apartments\client\src\Faq.jsx", "JavaScript JSX", 97, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
"c:\Users\HP\Desktop\Smash apartments\client\src\Home.jsx", "JavaScript JSX", 600, 0, 0, 0, 0, 0, 0, 0, 2, 45, 647
"c:\Users\HP\Desktop\Smash apartments\client\src\ImageRow.jsx", "JavaScript JSX", 191, 0, 0, 0, 0, 0, 0, 0, 1, 15, 207
"c:\Users\HP\Desktop\Smash apartments\client\src\ListProperty.jsx", "JavaScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 0, 5, 75
"c:\Users\HP\Desktop\Smash apartments\client\src\MapModal.jsx", "JavaScript JSX", 164, 0, 0, 0, 0, 0, 0, 0, 4, 22, 190
"c:\Users\HP\Desktop\Smash apartments\client\src\PartnerDetails.jsx", "JavaScript JSX", 223, 0, 0, 0, 0, 0, 0, 0, 3, 22, 248
"c:\Users\HP\Desktop\Smash apartments\client\src\PartnerPassword.jsx", "JavaScript JSX", 103, 0, 0, 0, 0, 0, 0, 0, 0, 10, 113
"c:\Users\HP\Desktop\Smash apartments\client\src\PickupDetail.jsx", "JavaScript JSX", 325, 0, 0, 0, 0, 0, 0, 0, 0, 13, 338
"c:\Users\HP\Desktop\Smash apartments\client\src\Pickups.jsx", "JavaScript JSX", 552, 0, 0, 0, 0, 0, 0, 0, 3, 20, 575
"c:\Users\HP\Desktop\Smash apartments\client\src\Privacy.jsx", "JavaScript JSX", 90, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"c:\Users\HP\Desktop\Smash apartments\client\src\Recovery.jsx", "JavaScript JSX", 72, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75
"c:\Users\HP\Desktop\Smash apartments\client\src\RentalDetails.jsx", "JavaScript JSX", 270, 0, 0, 0, 0, 0, 0, 0, 0, 11, 281
"c:\Users\HP\Desktop\Smash apartments\client\src\Rentals.jsx", "JavaScript JSX", 418, 0, 0, 0, 0, 0, 0, 0, 2, 16, 436
"c:\Users\HP\Desktop\Smash apartments\client\src\ReserveCooffice.jsx", "JavaScript JSX", 349, 0, 0, 0, 0, 0, 0, 0, 4, 26, 379
"c:\Users\HP\Desktop\Smash apartments\client\src\ReservePickup.jsx", "JavaScript JSX", 333, 0, 0, 0, 0, 0, 0, 0, 1, 20, 354
"c:\Users\HP\Desktop\Smash apartments\client\src\ReserveRental.jsx", "JavaScript JSX", 388, 0, 0, 0, 0, 0, 0, 0, 5, 25, 418
"c:\Users\HP\Desktop\Smash apartments\client\src\ReserveStays.jsx", "JavaScript JSX", 462, 0, 0, 0, 0, 0, 0, 0, 6, 32, 500
"c:\Users\HP\Desktop\Smash apartments\client\src\SecurityLevyInfo.jsx", "JavaScript JSX", 101, 0, 0, 0, 0, 0, 0, 0, 1, 8, 110
"c:\Users\HP\Desktop\Smash apartments\client\src\SiginAdmin.jsx", "JavaScript JSX", 91, 0, 0, 0, 0, 0, 0, 0, 0, 8, 99
"c:\Users\HP\Desktop\Smash apartments\client\src\Signin.jsx", "JavaScript JSX", 102, 0, 0, 0, 0, 0, 0, 0, 3, 9, 114
"c:\Users\HP\Desktop\Smash apartments\client\src\SigninPartner.jsx", "JavaScript JSX", 102, 0, 0, 0, 0, 0, 0, 0, 3, 9, 114
"c:\Users\HP\Desktop\Smash apartments\client\src\Stays.jsx", "JavaScript JSX", 539, 0, 0, 0, 0, 0, 0, 0, 5, 48, 592
"c:\Users\HP\Desktop\Smash apartments\client\src\StaysDetails.jsx", "JavaScript JSX", 372, 0, 0, 0, 0, 0, 0, 0, 0, 16, 388
"c:\Users\HP\Desktop\Smash apartments\client\src\Support.jsx", "JavaScript JSX", 83, 0, 0, 0, 0, 0, 0, 0, 1, 7, 91
"c:\Users\HP\Desktop\Smash apartments\client\src\Termsofuse.jsx", "JavaScript JSX", 93, 0, 0, 0, 0, 0, 0, 0, 0, 1, 94
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\DeactivatedCooffice.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 3, 117
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\DeactivatedCoofficeBookings.jsx", "JavaScript JSX", 97, 0, 0, 0, 0, 0, 0, 0, 0, 2, 99
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\DeactivatedPickupBookings.jsx", "JavaScript JSX", 97, 0, 0, 0, 0, 0, 0, 0, 0, 2, 99
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\DeactivatedPickups.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 3, 117
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\DeactivatedRentals.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 3, 117
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\DeactivatedRentalsBookings.jsx", "JavaScript JSX", 97, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\DeactivatedStays.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 3, 117
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\DeactivatedStaysBookings.jsx", "JavaScript JSX", 97, 0, 0, 0, 0, 0, 0, 0, 0, 2, 99
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\Email.jsx", "JavaScript JSX", 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 52
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\GeneralSettings.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 3, 62
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\HelpMessages.jsx", "JavaScript JSX", 140, 0, 0, 0, 0, 0, 0, 0, 0, 3, 143
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\HomeAdmin.jsx", "JavaScript JSX", 152, 0, 0, 0, 0, 0, 0, 0, 12, 9, 173
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ListingDetailsModal.jsx", "JavaScript JSX", 467, 0, 0, 0, 0, 0, 0, 0, 1, 32, 500
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageAirportBookings.jsx", "JavaScript JSX", 100, 0, 0, 0, 0, 0, 0, 0, 0, 2, 102
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageAirportPickups.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 2, 116
